w_tqqq,w_upro,w_ugl,cagr,max_dd,sharpe,sortino,calmar,ulcer,upi,worst_1yr,worst_3yr,pct_3yr_neg,total_return,train_cagr,train_sharpe,train_dd,test_cagr,test_sharpe,test_dd,tt_sharpe_ratio
0.0,0.1,0.9,0.19069876949534215,-0.40724706579872444,0.6073821231712447,0.5557411184203002,0.4682630901743367,0.2045942249138344,0.677921234354272,-0.3574255627979952,-0.34437438409848675,0.14442567567567569,88.14933463423672,0.19879331296037583,0.6383947986617775,-0.4058288052697965,0.17634207463692597,0.5545175348321401,-0.40724706579872444,1.151261697892075
0.0,0.11,0.89,0.19206832229759874,-0.40208979616305696,0.614741529941493,0.5621972762074757,0.4776751962631513,0.19676073828549384,0.7118712987057605,-0.35302569704863085,-0.3356238909405441,0.13766891891891891,90.78843652764837,0.19965972844444413,0.6444531084458991,-0.40208979616305696,0.17852027986591446,0.5641004592546776,-0.39826959825264296,1.1424438641609833
0.0,0.12,0.88,0.19341930941834895,-0.3983379529947525,0.6221062783880912,0.569757432415518,0.4855658567409894,0.1890115726145086,0.7482045012491133,-0.3486078826685348,-0.32678359171682936,0.13344594594594594,93.46606307931374,0.2005083663859477,0.6505055219756981,-0.3983379529947525,0.18067937819514146,0.5737099006783816,-0.3891845371962127,1.1338579327400657
0.0,0.13,0.87,0.19475166610203365,-0.39457331585932515,0.6294693479759115,0.5767944363594075,0.49357535918994405,0.18137440862109855,0.7870551705023061,-0.34417214869258217,-0.3178529860370253,0.12753378378378377,96.18100148161783,0.2013391904405264,0.6565460251508453,-0.39457331585932515,0.18281925119631603,0.5833369111215388,-0.37999109037572326,1.1255005685968897
0.0,0.14,0.86,0.1960653282628182,-0.3907959256595172,0.6368233266341515,0.5827199546130044,0.5017077082672582,0.17420478193585845,0.8269883677238121,-0.33971852520372237,-0.3088315772878122,0.11570945945945946,98.93195416148814,0.2021521648935578,0.662568275697715,-0.3907959256595172,0.18493978108923215,0.592972027665314,-0.37068846823627105,1.1173685178817283
0.0,0.15,0.85,0.1973602324886945,-0.38700582410917217,0.6441604136567146,0.677539419168818,0.5099670862654002,0.16851301202457847,0.8626053901849015,-0.33524704333836586,-0.299718872760239,0.11233108108108109,101.71753855718546,0.20294725466222308,0.6685656035373199,-0.38700582410917217,0.18704085075024368,0.602605281273184,-0.36127588410492184,1.1094585864311957
0.0,0.16,0.84,0.19863631604554666,-0.3832030537360111,0.65147242550484,0.5967903814235525,0.518357863041424,0.16287149809370358,0.9003190721631574,-0.33075773529174735,-0.2905143837781856,0.10726351351351351,104.53628707314165,0.20372442529753565,0.6745310132719333,-0.3832030537360111,0.18912234372071612,0.6122262101502155,-0.35175255437614866,1.1017676180613547
0.0,0.17,0.83,0.19989351688118218,-0.3793876578843661,0.658750804763333,0.6038132920871035,0.526884606620777,0.15729561729301456,0.9402265582879027,-0.32625063432323964,-0.28121762582785603,0.09966216216216216,107.38664721813262,0.20448364298634192,0.6804571890013728,-0.3793876578843661,0.19118414421545005,0.6218238779501202,-0.3421176986994927,1.0942924727248184
0.0,0.18,0.82,0.2011317736293281,-0.37555968071789314,0.6659866324891943,0.7017313881043449,0.5355520945295803,0.1518187765839575,0.9823012474801267,-0.3217257747616489,-0.271828118688336,0.08868243243243243,110.26698193167326,0.20522487455328275,0.6863365016768485,-0.37555968071789314,0.19322613713108083,0.6313868970998059,-0.3323705401694805,1.0870300046286143
0.0,0.19,0.81,0.20235102561359142,-0.37171916722223464,0.6731706441727937,0.618971808618309,0.5443653259144815,0.14643934505613818,1.0267119506438225,-0.31718319201045,-0.26234538656316475,0.08108108108108109,113.1755701031019,0.20594808746272464,0.6921610191932284,-0.37171916722223464,0.19524820805445242,0.640903457462513,-0.3225103055177473,1.0799770404323548
