w_tqqq,w_upro,w_ugl,cagr,max_dd,sharpe,sortino,calmar,ulcer,upi,worst_1yr,worst_3yr,pct_3yr_neg,total_return,train_cagr,train_sharpe,train_dd,test_cagr,test_sharpe,test_dd,tt_sharpe_ratio
0.0,0.0,1.0,0.1759968456868164,-0.49149439209181417,0.5353521968309835,0.448997597247594,0.3580851552298874,0.2840408018911339,0.4365458936224995,-0.4004313963386087,-0.4294145530190333,0.24155405405405406,64.08465145551331,0.18915983500413036,0.5785833924747965,-0.44250477433371027,0.15353564338399828,0.4617481627401205,-0.4913042797563539,1.2530280338125197
0.0,0.05,0.95,0.18357483306291988,-0.45054839606743463,0.5708836843355816,0.5217668674760072,0.4074475343053797,0.24437760755176108,0.538407894164572,-0.3791547185417369,-0.3867975211297966,0.20608108108108109,75.5682733167979,0.19419588826887502,0.6082026570873703,-0.42432999279533884,0.16516863427897355,0.5072775299527096,-0.45054839606743463,1.198954460182909
0.0,0.1,0.9,0.19069876949534215,-0.40724706579872444,0.6073821231712447,0.5557411184203002,0.4682630901743367,0.2045942249138344,0.677921234354272,-0.3574255627979952,-0.34437438409848675,0.14442567567567569,88.14933463423672,0.19879331296037583,0.6383947986617775,-0.4058288052697965,0.17634207463692597,0.5545175348321401,-0.40724706579872444,1.151261697892075
0.0,0.15,0.85,0.1973602324886945,-0.38700582410917217,0.6441604136567146,0.677539419168818,0.5099670862654002,0.16851301202457847,0.8626053901849015,-0.33524704333836586,-0.299718872760239,0.11233108108108109,101.71753855718546,0.20294725466222308,0.6685656035373199,-0.38700582410917217,0.18704085075024368,0.602605281273184,-0.36127588410492184,1.1094585864311957
0.0,0.2,0.8,0.20355121285138433,-0.36786616320766524,0.6802932495064956,0.6253084145857525,0.553329534514641,0.1411922257695853,1.073367970689152,-0.31262292255301105,-0.25276895821292744,0.07516891891891891,116.11060728735663,0.2066532498206588,0.6979225194090523,-0.36786616320766524,0.19725024327096197,0.650361360501376,-0.31253622530736697,1.073130357669174
0.0,0.25,0.75,0.20926412750589374,-0.34841544675975983,0.714630051456787,0.6557918060447636,0.6006166760171974,0.11856654913808329,1.3263785498449738,-0.28955762783061534,-0.20346521561583275,0.03547297297297297,131.11367198584946,0.2099072321928257,0.7254789919749747,-0.34841544675975983,0.20695595368376418,0.696322355394521,-0.26152412696722643,1.0418723258769054
0.0,0.3,0.7,0.2144918317482234,-0.32865981749635365,0.7458590434082112,0.6892161316853658,0.6526256643789534,0.10611317246660906,1.5313068865164234,-0.2660562678327201,-0.1600078230347286,0.02533783783783784,146.4615637490706,0.21270553877206289,0.7500976741517549,-0.32865981749635365,0.21614413037428903,0.7388487067289643,-0.2581802645535422,1.0152249944005345
0.0,0.35,0.65,0.2192276309321204,-0.30860594436853744,0.7726315089664223,0.7156479683332426,0.7103804542090044,0.10045085363519655,1.6647706304162875,-0.24212464815225188,-0.11552671679347382,0.013513513513513514,161.84426726134762,0.21504491517915114,0.7705832495971238,-0.30860594436853744,0.22480139423715562,0.7763102287695361,-0.2548837345305177,0.9926228214440898
0.0,0.4,0.6,0.22346529155437866,-0.2882610296488142,0.7937355441276642,0.738432752191321,0.7752185296313705,0.09700635952462057,1.767567532630272,-0.24001559356991375,-0.06952061222182959,0.005067567567567568,176.91558688915086,0.21692252050906324,0.7858226761420974,-0.2882610296488142,0.23291486376816795,0.8073186547716406,-0.2516344819576795,0.9733736133774544
0.0,0.45,0.55,0.22719905171824872,-0.26791964024137016,0.8082829543119984,0.7560653550143248,0.8480119319119865,0.09535926675024325,1.8372525050671262,-0.24301107526787358,-0.02199299282146705,0.0008445945945945946,191.30483056717603,0.21833593162351095,0.7949501781873577,-0.26791964024137016,0.24047217958529843,0.8309450220050373,-0.24843245174078296,0.9566820392872377
