window,instrument,n_weeks,years,total_return,cagr,vol,sharpe,sortino,calmar,max_dd,ulcer,upi,best_week,worst_week,pct_pos
Full TripleEdge history (2000-2026),TripleEdge 75/25,1345,25.76,277.6058400870395,0.24411940423539602,0.2552636999359795,0.8288783641252044,0.7511753915641184,0.7740020096007654,-0.31539892817760795,0.12549759387291123,1.6264806195575625,0.192140176390458,-0.249797919893608,0.6408921933085502
Full TripleEdge history (2000-2026),NTSX,409,7.82,2.6144094173418657,0.1307779948025074,0.17447713545326893,0.5639714395957522,0.5388884010981739,0.4235973277187032,-0.30873186926559815,0.10344039805381794,0.8775874465919732,0.10368303074898844,-0.1352060275633986,0.5623471882640587
Full TripleEdge history (2000-2026),RSST,143,2.72,1.7662941159196015,0.23249304069438215,0.21956958937527574,0.8764254949107196,0.79197006958634,0.8663642920437893,-0.2683548281357735,0.07135841215536154,2.697552185932701,0.06297449355493034,-0.14676397725068802,0.5944055944055944
Full TripleEdge history (2000-2026),RSBT,173,3.3,1.0575269510091414,0.01711285787756278,0.1210971084554369,-0.12440033165390454,-0.11295023485166746,0.08262837354508551,-0.20710631400998455,0.11426021706808737,-0.20030718223473032,0.032379596975887326,-0.05844161140172943,0.5317919075144508
Full TripleEdge history (2000-2026),RPAR,338,6.46,1.3411124602912836,0.04649163777475107,0.12990764733389532,0.11073204983898371,0.10518228574574925,0.15786010268399017,-0.29451164027062393,0.14240943398303002,0.04558432396778317,0.10346733773501327,-0.10922773726026491,0.5562130177514792
Full TripleEdge history (2000-2026),SWAN,395,7.55,1.6754740015540466,0.07073798490561556,0.10936002996467994,0.3173773826138004,0.32040600737246955,0.22819464126313296,-0.3099896847448186,0.129852901677875,0.23671388554617762,0.05091377482300974,-0.05018911296603934,0.5316455696202531
Full TripleEdge history (2000-2026),NTSI,263,5.02,1.3452073053777787,0.06083782777946789,0.1556971135449794,0.2025329983573264,0.19095271825357035,0.18330281976959178,-0.33189793728181544,0.12207023280849745,0.17070359661030599,0.0813236013121108,-0.07187232328103088,0.5665399239543726
Full TripleEdge history (2000-2026),NTSE,263,5.02,1.456829949169583,0.07781362078264076,0.18384941142503278,0.2830831909481873,0.2753877976425515,0.1871287040119655,-0.41582942175276943,0.22853198313324888,0.16546314552651906,0.06943249112783079,-0.09001440643788339,0.5513307984790875
Full TripleEdge history (2000-2026),SPY,1345,25.76,7.95487348698308,0.08384104472625942,0.1751701846868782,0.32258473878661703,0.298833606918928,0.15351843692235967,-0.5461301352922264,0.16194699891007025,0.2707123010695895,0.13292194440291083,-0.19793327485250234,0.5635687732342007
Full TripleEdge history (2000-2026),VTI,1303,24.95,10.423451650540752,0.09849360650442351,0.17861101313638264,0.3947951864308884,0.3641218380875975,0.17975713143382438,-0.5479260028172115,0.12475207781246192,0.46887881572887424,0.12951822477702502,-0.19098825192687252,0.5755947812739831
Full TripleEdge history (2000-2026),QQQ,1345,25.76,9.022997042359624,0.08915555605956715,0.22988580350946197,0.3150445891108118,0.29923850363530946,0.111207389940423,-0.8017053192897554,0.4085266305883355,0.12032399451848776,0.19054256243769085,-0.1733137206120824,0.5561338289962825
Full TripleEdge history (2000-2026),AOR,915,17.52,4.791642005626087,0.09357253683313593,0.1269280026525102,0.45468204271729207,0.4736165795168988,0.38857353474049516,-0.24081037041194117,0.055539395960468516,0.964586234810106,0.2636362333888389,-0.12769739235203548,0.5868852459016394
NTSX era (2018-08 onward),TripleEdge 75/25,410,7.84,8.064629256013628,0.3051438595288476,0.29093576249140446,0.9244036943483442,0.8483514888575404,1.116093696342881,-0.27340344321334004,0.13546197420073947,1.9573305430787102,0.192140176390458,-0.249797919893608,0.6390243902439025
NTSX era (2018-08 onward),NTSX,409,7.82,2.6144094173418657,0.1307779948025074,0.17447713545326893,0.5639714395957522,0.5388884010981739,0.4235973277187032,-0.30873186926559815,0.10344039805381794,0.8775874465919732,0.10368303074898844,-0.1352060275633986,0.5623471882640587
