Date,AOR,NTSE,NTSI,NTSX,QQQ,RPAR,RSBT,RSST,SPY,SWAN,VTI
2000-01-07,,,,,75.92052459716797,,,,91.56387329101562,,
2000-01-14,,,,,78.76753997802734,,,,92.32950592041016,,
2000-01-21,,,,,81.19275665283203,,,,90.73930358886719,,
2000-01-28,,,,,72.54623413085938,,,,85.36016845703125,,
2000-02-04,,,,,81.95723724365234,,,,89.5810546875,,
2000-02-11,,,,,84.25067901611328,,,,87.12699890136719,,
2000-02-18,,,,,83.03804779052734,,,,85.00675201416016,,
2000-02-25,,,,,87.78306579589844,,,,83.76010131835938,,
2000-03-03,,,,,93.68804168701172,,,,88.6583023071289,,
2000-03-10,,,,,96.58773803710938,,,,88.0300521850586,,
2000-03-17,,,,,93.47712707519531,,,,92.54447937011719,,
2000-03-24,,,,,99.17117309570312,,,,96.717041015625,,
2000-03-31,,,,,92.36994934082031,,,,94.7094955444336,,
2000-04-07,,,,,89.94471740722656,,,,95.378662109375,,
2000-04-14,,,,,67.80122375488281,,,,85.65579223632812,,
2000-04-21,,,,,73.60069274902344,,,,90.5762710571289,,
2000-04-28,,,,,79.92739868164062,,,,91.38326263427734,,
2000-05-05,,,,,77.13313293457031,,,,90.39912414550781,,
2000-05-12,,,,,71.3863754272461,,,,89.94644165039062,,
2000-05-19,,,,,68.90840911865234,,,,88.88363647460938,,
2000-05-26,,,,,65.58689880371094,,,,86.91544342041016,,
2000-06-02,,,,,78.97840881347656,,,,93.11527252197266,,
2000-06-09,,,,,79.0838851928711,,,,92.32794189453125,,
2000-06-16,,,,,79.5056381225586,,,,92.54531860351562,,
2000-06-23,,,,,77.18585968017578,,,,91.14460754394531,,
2000-06-30,,,,,78.82020568847656,,,,91.71675872802734,,
2000-07-07,,,,,80.92910766601562,,,,93.4923095703125,,
2000-07-14,,,,,84.88336944580078,,,,95.48486328125,,
2000-07-21,,,,,81.825439453125,,,,93.23584747314453,,
2000-07-28,,,,,73.28437805175781,,,,89.70450592041016,,
2000-08-04,,,,,76.02594757080078,,,,92.40727996826172,,
2000-08-11,,,,,76.8167953491211,,,,93.05831146240234,,
2000-08-18,,,,,80.34918212890625,,,,94.4984359741211,,
2000-08-25,,,,,82.69535827636719,,,,95.48486328125,,
2000-09-01,,,,,86.57048034667969,,,,96.27397918701172,,
2000-09-08,,,,,80.24373626708984,,,,94.5773696899414,,
2000-09-15,,,,,77.02764892578125,,,,92.402099609375,,
2000-09-22,,,,,78.39845275878906,,,,91.94717407226562,,
2000-09-29,,,,,74.86605072021484,,,,90.89897155761719,,
2000-10-06,,,,,70.01555633544922,,,,89.27717590332031,,
2000-10-13,,,,,68.53935241699219,,,,87.06208038330078,,
2000-10-20,,,,,72.80987548828125,,,,88.54541015625,,
2000-10-27,,,,,67.24761962890625,,,,88.14985656738281,,
2000-11-03,,,,,70.06829071044922,,,,90.36491394042969,,
2000-11-10,,,,,60.5255012512207,,,,86.46871948242188,,
2000-11-17,,,,,61.435020446777344,,,,86.4786148071289,,
2000-11-24,,,,,59.41831588745117,,,,85.34142303466797,,
2000-12-01,,,,,53.9879035949707,,,,83.6800765991211,,
2000-12-08,,,,,57.36213684082031,,,,84.78762817382812,,
2000-12-15,,,,,53.88246154785156,,,,83.14318084716797,,
2000-12-22,,,,,51.03544235229492,,,,83.12334442138672,,
2000-12-29,,,,,49.24288558959961,,,,83.28208923339844,,
2001-01-05,,,,,47.76664733886719,,,,82.01242065429688,,
2001-01-12,,,,,52.9202766418457,,,,83.79786682128906,,
2001-01-19,,,,,55.93864440917969,,,,85.07743072509766,,
2001-01-26,,,,,55.29279327392578,,,,86.25784301757812,,
2001-02-02,,,,,51.92118835449219,,,,85.575439453125,,
2001-02-09,,,,,47.57685852050781,,,,83.69631958007812,,
2001-02-16,,,,,46.505516052246094,,,,82.78214263916016,,
2001-02-23,,,,,43.1734619140625,,,,79.3286361694336,,
2001-03-02,,,,,39.39432144165039,,,,78.47164154052734,,
2001-03-09,,,,,38.044593811035156,,,,78.31291198730469,,
2001-03-16,,,,,34.75470733642578,,,,73.20863342285156,,
2001-03-23,,,,,36.10442352294922,,,,72.87126159667969,,
2001-03-30,,,,,33.025421142578125,,,,74.27803039550781,,
2001-04-06,,,,,30.326025009155273,,,,72.12018585205078,,
2001-04-13,,,,,36.10442352294922,,,,75.6529541015625,,
2001-04-20,,,,,40.82835006713867,,,,79.24942016601562,,
2001-04-27,,,,,38.086795806884766,,,,80.06417846679688,,
2001-05-04,,,,,40.65964889526367,,,,81.05719757080078,,
2001-05-11,,,,,38.42420959472656,,,,79.66317749023438,,
2001-05-18,,,,,40.52469253540039,,,,82.5849380493164,,
2001-05-25,,,,,41.32606887817383,,,,81.54096984863281,,
2001-06-01,,,,,38.84598922729492,,,,80.66891479492188,,
2001-06-08,,,,,39.94263458251953,,,,80.84075927734375,,
2001-06-15,,,,,35.93570327758789,,,,77.7831802368164,,35.915164947509766
2001-06-22,,,,,36.48402404785156,,,,78.4215316772461,,36.22161865234375
