regime_type,regime_period,reentry_instrument,reentry_period,trailing_stop_pct,total_return,cagr,max_dd,sharpe,sortino,calmar,ulcer_index,upi,recovery_weeks,worst_1yr,worst_3yr,pct_3yr_negative,num_trades,pct_time_ugl,pct_time_cash,train_cagr,train_sharpe,train_max_dd,test_cagr,test_sharpe,test_max_dd,train_test_sharpe_ratio
weekly_sma,20,UGL,5,0.06,15.110048106899004,0.11187813780645484,-0.4757291099806127,0.34998263233530946,0.2865677719712066,0.23517194020566493,0.2033738247013701,0.2944240139771116,150.0,-0.39711419044911567,-0.4471705516552039,0.29466553767993225,232,0.49550898203592814,0.5044910179640718,0.11838142040604493,0.37474179907934574,-0.2703096553908474,0.10236750054316035,0.3124352294312114,-0.4757291099806127,1.199422356312262
weekly_sma,20,UGL,5,0.08,14.017038623935562,0.10862226725077839,-0.5437576411629873,0.33549249425949246,0.2791243040563678,0.19976228199470888,0.27176106248852183,0.20835312731076,165.0,-0.3971141904491158,-0.4136380175160641,0.35478408128704486,200,0.5366766467065869,0.4633233532934132,0.10963977724485674,0.33927522269025856,-0.3767464354137066,0.10721515506840595,0.3288679315010713,-0.46994803884257835,1.0316458073053358
weekly_sma,20,UGL,5,0.1,21.411024164639215,0.12711734297194632,-0.517961884102578,0.39578875377795697,0.3304716336592757,0.24541833457917492,0.3148148042373076,0.2386080386337957,328.0,-0.38236819082649165,-0.46799959550076553,0.31329381879762913,168,0.5770958083832335,0.42290419161676646,0.1235143034732551,0.3843539482223949,-0.49537729055738683,0.13265512117467404,0.41139825242389666,-0.4396378065894653,0.9342624718453206
weekly_sma,20,UGL,5,0.12,22.821880580390683,0.12992996169386606,-0.5304554962105811,0.4041655526042602,0.340097057444085,0.24494036280526396,0.3119658258043187,0.24980287982808674,165.0,-0.3977261670304969,-0.43354133871949685,0.3336155800169348,154,0.5950598802395209,0.40494011976047906,0.1287378415056042,0.4003581433984685,-0.48678074676000954,0.13185988747074529,0.4086808793400204,-0.47048608333127695,0.9796351227515407
weekly_sma,20,UGL,5,0.15,28.9156972412898,0.14042247884689352,-0.537360101301103,0.43807123717616486,0.3705378822124259,0.26131913870585183,0.31254745835192627,0.28290896785130926,158.0,-0.39772616703049746,-0.44187105682860706,0.3370025402201524,146,0.6040419161676647,0.39595808383233533,0.1347899297829096,0.4197540319939406,-0.4943275846845872,0.14904332721696156,0.4638695433657313,-0.4704860833312776,0.9048967279642923
weekly_sma,20,UGL,5,0.18,25.02419985373325,0.13400272973565674,-0.5169591582408559,0.4157605516289805,0.3524789627469874,0.2592133780773909,0.30775262189169733,0.2664566405043162,305.0,-0.38236819082649165,-0.44187105682860783,0.32260795935647757,144,0.6115269461077845,0.3884730538922156,0.11899810966965596,0.3654375632515678,-0.494327584684588,0.15690563182686956,0.4892167079981723,-0.43206393331940884,0.7469850421644493
weekly_sma,20,UGL,5,0.2,25.02419985373325,0.13400272973565674,-0.5169591582408559,0.4157605516289805,0.3524789627469874,0.2592133780773909,0.30775262189169733,0.2664566405043162,305.0,-0.38236819082649165,-0.44187105682860783,0.32260795935647757,144,0.6115269461077845,0.3884730538922156,0.11899810966965596,0.3654375632515678,-0.494327584684588,0.15690563182686956,0.4892167079981723,-0.43206393331940884,0.7469850421644493
weekly_sma,20,UGL,5,0.22,21.850570963508886,0.1280122434582911,-0.5169591582408549,0.3953862479307922,0.33492276515223496,0.24762544858263114,0.3109749246320503,0.24443206650256388,305.0,-0.38236819082649154,-0.44187105682860706,0.32260795935647757,144,0.6130239520958084,0.3869760479041916,0.10913156875499519,0.33166461221841653,-0.49432758468458704,0.15690563182686956,0.4892167079981726,-0.4320639333194087,0.6779502964556465
weekly_sma,20,UGL,5,0.25,21.233713850383825,0.1267513393499864,-0.5305957437409158,0.3911412864482418,0.33163291319567456,0.23888495308375055,0.3217574385114691,0.2323220239936174,305.0,-0.39980437477871955,-0.4576274326785196,0.3259949195596952,144,0.6137724550898204,0.38622754491017963,0.10705929176377138,0.32460043067269057,-0.5086030755547962,0.15690563182686956,0.4892167079981727,-0.43206393331940823,0.6635105166398017
weekly_sma,20,UGL,5,0.28,21.233713850383825,0.1267513393499864,-0.5305957437409158,0.3911412864482418,0.33163291319567456,0.23888495308375055,0.3217574385114691,0.2323220239936174,305.0,-0.39980437477871955,-0.4576274326785196,0.3259949195596952,144,0.6137724550898204,0.38622754491017963,0.10705929176377138,0.32460043067269057,-0.5086030755547962,0.15690563182686956,0.4892167079981727,-0.43206393331940823,0.6635105166398017
