portfolio,total_return,cagr,max_dd,sharpe,sortino,calmar,ulcer_index,upi,worst_1y,worst_3y,recovery_weeks,n_weeks,years
Baseline (all cash),141.55941631213912,0.26057045893204545,-0.32057373407446993,0.8026471773505489,0.7754380672395427,0.8128253541555417,0.1174662441184407,1.7755778308681154,-0.24620739302937877,0.3083414864503571,57,1117,21.388090349075977
Enhanced (both inverse),132.87783362703814,0.2568458259115478,-0.3205737340744697,0.790966735399441,0.7669683395296821,0.8012067072590613,0.12154924641269234,1.6852907932974033,-0.26296331741558154,0.2886550360489566,58,1117,21.388090349075977
Hybrid (UPRO inv only),127.8994131705089,0.2546038703317033,-0.3205737340744697,0.7846874285326466,0.7598813387082067,0.7942131349805424,0.12272100702226026,1.6509306372865173,-0.2629633174155819,0.25963049118916026,58,1117,21.388090349075977
Hybrid (TQQQ inv only),147.06954553410188,0.26282307670329685,-0.3205737340744699,0.8089232993014321,0.7825311986271517,0.8198521861502308,0.11638229534350071,1.8114703450473761,-0.2501463587368996,0.3384884354413711,57,1117,21.388090349075977
