end,trough,trough_date,cagr,max_dd,weeks_underwater,ended_below_lump,ever_down_30,ever_down_40,ever_down_50,start_date,end_date,label,horizon_yr,monthly_contrib
65532.2500406581,48318.767343163345,2000-10-13,0.029835700485831618,-0.20901092283486014,142,False,False,False,False,2000-09-01,2003-08-22,TripleEdge 3yr,3.0,0.0
67939.44839739987,47459.34462990838,2000-10-13,0.042294042307087,-0.17657552507728688,142,False,False,False,False,2000-09-08,2003-08-29,TripleEdge 3yr,3.0,0.0
73072.59115994808,49405.4684953628,2000-10-13,0.06790942415369328,-0.13179645011168853,141,False,False,False,False,2000-09-15,2003-09-05,TripleEdge 3yr,3.0,0.0
76176.94686258194,52092.212993298686,2000-10-13,0.08282291366626748,-0.12080403902004665,122,False,False,False,False,2000-09-22,2003-09-12,TripleEdge 3yr,3.0,0.0
80472.07714436571,52751.7576587972,2000-10-13,0.10280312230894473,-0.09714695217841998,115,False,False,False,False,2000-09-29,2003-09-19,TripleEdge 3yr,3.0,0.0
75995.19942310995,54171.1828692948,2000-10-13,0.08196107369837446,-0.08037755312571937,103,False,False,False,False,2000-10-06,2003-09-26,TripleEdge 3yr,3.0,0.0
84223.68025370981,56464.445676544434,2000-10-13,0.11968103274186159,-0.08037755312571929,63,False,False,False,False,2000-10-13,2003-10-03,TripleEdge 3yr,3.0,0.0
92306.79913199953,60058.520575250644,2000-10-20,0.15441194985002027,-0.08037755312571934,0,False,False,False,False,2000-10-20,2003-10-10,TripleEdge 3yr,3.0,0.0
91345.36406592019,60058.520575250644,2000-10-27,0.150389970940364,-0.08037755312571933,0,False,False,False,False,2000-10-27,2003-10-17,TripleEdge 3yr,3.0,0.0
92007.95076472692,60058.520575250644,2000-11-03,0.15316477877397316,-0.08037755312571944,0,False,False,False,False,2000-11-03,2003-10-24,TripleEdge 3yr,3.0,0.0
94846.16486424298,60058.520575250644,2000-11-10,0.16490231441704895,-0.08037755312571944,0,False,False,False,False,2000-11-10,2003-10-31,TripleEdge 3yr,3.0,0.0
95193.67043727956,60058.520575250644,2000-11-17,0.16632327033406558,-0.08037755312571931,0,False,False,False,False,2000-11-17,2003-11-07,TripleEdge 3yr,3.0,0.0
96572.80817403694,60058.520575250644,2000-11-24,0.17192873559111632,-0.08037755312571931,0,False,False,False,False,2000-11-24,2003-11-14,TripleEdge 3yr,3.0,0.0
93640.20349090052,60058.520575250644,2000-12-01,0.1599440267734351,-0.08037755312571937,0,False,False,False,False,2000-12-01,2003-11-21,TripleEdge 3yr,3.0,0.0
98213.79928217093,60058.520575250644,2000-12-08,0.1785293981691991,-0.08037755312571938,0,False,False,False,False,2000-12-08,2003-11-28,TripleEdge 3yr,3.0,0.0
100102.809788651,60058.520575250644,2000-12-15,0.18603727727552943,-0.08037755312571937,0,False,False,False,False,2000-12-15,2003-12-05,TripleEdge 3yr,3.0,0.0
103066.24551374625,60058.520575250644,2000-12-22,0.19762743223093948,-0.08037755312571937,0,False,False,False,False,2000-12-22,2003-12-12,TripleEdge 3yr,3.0,0.0
105653.63651949512,60058.520575250644,2000-12-29,0.20756652785932528,-0.08037755312571944,0,False,False,False,False,2000-12-29,2003-12-19,TripleEdge 3yr,3.0,0.0
107696.8442001583,60058.520575250644,2001-01-05,0.2153011505106308,-0.08037755312571934,0,False,False,False,False,2001-01-05,2003-12-26,TripleEdge 3yr,3.0,0.0
111415.59609620251,60058.520575250644,2001-01-12,0.22913120872794068,-0.08037755312571938,0,False,False,False,False,2001-01-12,2004-01-02,TripleEdge 3yr,3.0,0.0
115325.61902931673,60058.520575250644,2001-01-19,0.2433446062478739,-0.08037755312571929,0,False,False,False,False,2001-01-19,2004-01-09,TripleEdge 3yr,3.0,0.0
116848.90100109953,60058.520575250644,2001-01-26,0.24879493106878203,-0.0803775531257193,0,False,False,False,False,2001-01-26,2004-01-16,TripleEdge 3yr,3.0,0.0
117339.8713013083,60058.520575250644,2001-02-02,0.250541529989212,-0.08037755312571934,0,False,False,False,False,2001-02-02,2004-01-23,TripleEdge 3yr,3.0,0.0
114084.58989972215,60058.520575250644,2001-02-09,0.23886859851987463,-0.08037755312571934,0,False,False,False,False,2001-02-09,2004-01-30,TripleEdge 3yr,3.0,0.0
116315.39058651283,60058.520575250644,2001-02-16,0.24689144243390126,-0.08037755312571943,0,False,False,False,False,2001-02-16,2004-02-06,TripleEdge 3yr,3.0,0.0
118687.62721331454,60058.520575250644,2001-02-23,0.25531118672186315,-0.0803775531257193,0,False,False,False,False,2001-02-23,2004-02-13,TripleEdge 3yr,3.0,0.0
116105.51632618837,60058.520575250644,2001-03-02,0.24614104597598363,-0.08037755312571941,0,False,False,False,False,2001-03-02,2004-02-20,TripleEdge 3yr,3.0,0.0
116123.6603746845,60058.520575250644,2001-03-09,0.24620595493872743,-0.08037755312571931,0,False,False,False,False,2001-03-09,2004-02-27,TripleEdge 3yr,3.0,0.0
119792.57026283332,60058.520575250644,2001-03-16,0.2591946726104084,-0.08037755312571937,0,False,False,False,False,2001-03-16,2004-03-05,TripleEdge 3yr,3.0,0.0
110072.57760227265,60058.520575250644,2001-03-23,0.22417252684459443,-0.08037755312571931,0,False,False,False,False,2001-03-23,2004-03-12,TripleEdge 3yr,3.0,0.0
109813.43407409103,60058.520575250644,2001-03-30,0.22321108341344376,-0.08151440603871987,0,False,False,False,False,2001-03-30,2004-03-19,TripleEdge 3yr,3.0,0.0
