regime_type,regime_period,reentry_instrument,reentry_period,trailing_stop_pct,total_return,cagr,max_dd,sharpe,sortino,calmar,ulcer_index,upi,recovery_weeks,worst_1yr,worst_3yr,pct_3yr_negative,num_trades,pct_time_upro,pct_time_cash,train_cagr,train_sharpe,train_max_dd,test_cagr,test_sharpe,test_max_dd,train_test_sharpe_ratio
weekly_sma,150,UPRO,8,0.06,3.325372316646463,0.04053168804807683,-0.5630950985882662,0.0946301387905798,0.06844182435138763,0.0719801826542154,0.32711069656225544,-0.03505942200132403,682.0,-0.5373217913402383,-0.5435018736061998,0.3506676036542516,234,0.508871989860583,0.491128010139417,-0.003133171986196781,-0.09201150492787831,-0.5630950985882662,0.14120695334945155,0.44225540172197253,-0.3957793039423188,-0.20805060734051156
weekly_sma,150,UPRO,8,0.08,4.72952164601176,0.05272197135733059,-0.6495108913356122,0.1476863105104597,0.10634722368000224,0.08117180490833115,0.37005810501537734,0.0019509675576504125,682.0,-0.5019146904217653,-0.6287607179958904,0.32466619817287423,170,0.550063371356147,0.449936628643853,0.011242714115420105,-0.015020378918928472,-0.6495108913356122,0.14762043531094027,0.45156920209379453,-0.3957793039423184,-0.033262629181271354
weekly_sma,150,UPRO,8,0.1,5.775196644210223,0.05969813836034876,-0.6732986233244683,0.17434500804650194,0.12839572511482752,0.08866517217216961,0.39301578792987346,0.01958735144177556,679.0,-0.5177029715696311,-0.6629462897880296,0.2782853127196065,146,0.5754119138149556,0.42458808618504434,0.017462814984457564,0.014476398097649421,-0.6732986233244683,0.15648287158627294,0.46934428430154196,-0.43775575597781846,0.03084387853831559
weekly_sma,150,UPRO,8,0.12,4.901228558322169,0.05396407729545882,-0.6891759797293264,0.16090770505406496,0.11837413068940496,0.07830231883103818,0.390188690239479,0.005033660238212875,269.0,-0.5263622986305775,-0.6484368294345169,0.31834153197470133,130,0.5906210392902408,0.4093789607097592,0.01502429347019274,0.015706128760350473,-0.6891759797293264,0.14233176695475525,0.42983023418150235,-0.4343418526913868,0.036540307105801036
weekly_sma,150,UPRO,8,0.15,7.834445525282974,0.07043799817157814,-0.7505504914429026,0.21664699876507446,0.16215466714928722,0.09384844720594876,0.43784073354421665,0.04211119879671069,691.0,-0.6184178188668654,-0.7357822135874423,0.2817990161630358,102,0.6223067173637515,0.3776932826362484,0.03466183574347581,0.09637653641916606,-0.7505504914429026,0.1506367467699159,0.44908277766265736,-0.4827101499103219,0.21460750937895534
weekly_sma,150,UPRO,8,0.18,8.653483222624812,0.07396321823790597,-0.7316426724577811,0.23077709969632615,0.17520883288122888,0.10109199616452655,0.4227054006462304,0.051958688496358665,151.0,-0.6224118430980892,-0.7004789688819333,0.30147575544624033,82,0.6463878326996197,0.35361216730038025,0.03940726358320035,0.11549552649466562,-0.7316426724577811,0.1510606177352305,0.445465020903541,-0.6124566873876522,0.25926957465797185
weekly_sma,150,UPRO,10,0.06,7.701181583197363,0.06983091521942542,-0.4725828737423236,0.197314299667271,0.14258040393792173,0.14776437975088536,0.25835080045341724,0.06901823097947195,61.0,-0.41881676616937114,-0.4364021656724758,0.2817990161630358,224,0.5031685678073511,0.4968314321926489,0.040638220165479355,0.07259390501566347,-0.4725828737423236,0.1335720713639985,0.4189064847187527,-0.4124503751503195,0.1732938201336317
weekly_sma,150,UPRO,10,0.08,11.018248059462117,0.08257694282035843,-0.5672821175431756,0.24531888683746508,0.17515617074138065,0.14556591908447306,0.2882450724486037,0.10607967227544034,312.0,-0.4770652576674578,-0.5416637150130861,0.24174279690794098,158,0.541191381495564,0.458808618504436,0.05393812911413898,0.1355259120978133,-0.5672821175431756,0.1448774000639219,0.44411141502094464,-0.4690147019826213,0.3051619650249742
weekly_sma,150,UPRO,10,0.1,10.759305554888767,0.0817259656146101,-0.59665072489846,0.24315655106700443,0.1764465878788003,0.13697455178407517,0.32058409984038766,0.09272439160086247,566.0,-0.47706525766745733,-0.5838696149134877,0.24244553759662685,136,0.5608365019011406,0.4391634980988593,0.05306018699504578,0.1346168676353072,-0.59665072489846,0.14409769279376405,0.4381277359864305,-0.513086968232565,0.3072548404912591
weekly_sma,150,UPRO,10,0.12,9.131085727825807,0.07587271126058437,-0.5902166659313292,0.22661865246264531,0.1641563809569796,0.1285506080057252,0.30985367056779894,0.07704511363973271,503.0,-0.48645420824865127,-0.5659560683736566,0.22698524244553758,120,0.5760456273764258,0.42395437262357416,0.050536350365358196,0.1311948672073711,-0.5902166659313292,0.13009813728180442,0.39919623778234614,-0.5101304702034064,0.32864755423597586
