regime_period,reentry_instrument,reentry_period,trailing_stop_pct,cagr,max_dd,sharpe,sortino,calmar,upi,num_trades,pct_time_upro,train_cagr,test_cagr,train_sharpe,test_sharpe,train_test_sharpe_ratio,train_max_dd,test_max_dd,worst_1yr,worst_3yr
30,UPRO,8,0.06,0.07505315733224083,-0.6107200140413548,0.2207333675116074,0.17325142014176823,0.12289290608897356,0.07787054231431298,262,0.5671736375158428,0.0574220089516666,0.1106750696557619,0.16062171939956646,0.35779140902518825,0.44892559001677657,-0.6107200140413548,-0.42229381248343234,-0.49471343773931753,-0.5295454867961709
30,UPRO,8,0.08,0.07418732195671618,-0.7441986736966117,0.22264158382168225,0.17318007723676013,0.09968752240340623,0.060074882752538035,200,0.6102661596958175,0.05810900507226835,0.10611595064080692,0.17045817719937195,0.33964795538664155,0.5018672260379994,-0.7441986736966117,-0.4488055484579486,-0.5019134719318853,-0.6360368012164458
30,UPRO,8,0.1,0.07136499054994094,-0.7527351370645927,0.21560451123936603,0.17043124997956002,0.09480757179509353,0.04897661082675826,182,0.632446134347275,0.046212841315804276,0.12516269469621544,0.13473782268098314,0.392434910879063,0.3433380133769633,-0.7527351370645927,-0.4425777248485807,-0.5019134719318852,-0.6360368012164452
30,UPRO,8,0.12,0.072773547896263,-0.7580764952938507,0.22242442604007684,0.17739939013662695,0.09599763130507566,0.056736777414797684,164,0.6489226869455006,0.05389170728031156,0.11139478437395689,0.16246308271840856,0.3519416008566251,0.4616194343691503,-0.7580764952938507,-0.4391933890480005,-0.501913471931885,-0.655782657947024
30,UPRO,8,0.15,0.10730050429260651,-0.7743186003137099,0.32309729824181527,0.26096290421909213,0.1385741014733915,0.1531598337551136,134,0.6730038022813688,0.097525893991812,0.12429995054124388,0.29391274465459133,0.3865419723610675,0.760364373522802,-0.7743186003137099,-0.48714676964437426,-0.5353536856378076,-0.6788925009780765
30,UPRO,8,0.18,0.12231131325577294,-0.7743186003137098,0.36391595037801083,0.29698267674777795,0.15795993174672462,0.19217032835340686,122,0.6856780735107731,0.10054668587144411,0.1676572692574816,0.30260619485305573,0.49550916828155495,0.6106974688329295,-0.7743186003137098,-0.5018234945160037,-0.5353536856378074,-0.6788925009780764
30,UPRO,8,0.2,0.11858677069389612,-0.7866963922320964,0.3536479330846951,0.28945779145916506,0.15074019896980773,0.1772255946373908,120,0.6907477820025348,0.0909009075967695,0.17835039716298184,0.2756468894998728,0.5200943943443549,0.5299939635907069,-0.7866963922320964,-0.48714676964437453,-0.5608378212502909,-0.6965040622846432
30,UPRO,8,0.22,0.13813839523376936,-0.7866963922320964,0.40427557336916636,0.3352118637281781,0.17559301987114598,0.23220235719424326,114,0.6932826362484157,0.10752883135052294,0.2049985120454787,0.3217892069320798,0.578725161227789,0.5560311327217756,-0.7866963922320964,-0.48714676964437414,-0.5608378212502909,-0.6965040622846432
30,UPRO,8,0.25,0.1348651381897159,-0.7866963922320968,0.3956559871117649,0.3280527909008129,0.17143225712153393,0.22311383392825135,114,0.6939163498098859,0.1029415301897485,0.20499851204547848,0.3092325504490934,0.578725161227789,0.5343340348172247,-0.7866963922320968,-0.4871467696443743,-0.5608378212502911,-0.6965040622846435
30,UPRO,10,0.06,0.07378288654607523,-0.5812784069238701,0.2168586719126234,0.17095362658021915,0.12693209599258098,0.07689040424438266,268,0.5716096324461344,0.06395553220077455,0.09100992982657163,0.1817547048978038,0.2935764473155288,0.6191051992071362,-0.5812784069238701,-0.43465359998235575,-0.46204844479458584,-0.49396457474315314
30,UPRO,10,0.08,0.08006658560569768,-0.7248521816579592,0.24111080036975827,0.1872549243726841,0.1104591910347305,0.08123995669448378,198,0.6121673003802282,0.07284218439803603,0.09123508274078151,0.21637983115984147,0.2947929379972834,0.734006155743919,-0.7248521816579592,-0.5172629658000106,-0.4770644297143114,-0.6167587798831515
30,UPRO,10,0.1,0.07295246063585759,-0.7340342656838684,0.22029397682252508,0.172978393439185,0.09938563367732008,0.05607898670342143,180,0.6299112801013942,0.05861215704361533,0.10076896506785604,0.17271362926252692,0.3224545320422621,0.5356216523571466,-0.7340342656838684,-0.5172629658000104,-0.4770644297143114,-0.6167587798831515
30,UPRO,10,0.12,0.07436310507917421,-0.7397795958000246,0.22698181303235523,0.17985661549898285,0.1005206219546448,0.06357103844349815,162,0.6463878326996197,0.06638202999997489,0.08729954551811558,0.19967188457514481,0.2848461018329814,0.7009816293439106,-0.7397795958000246,-0.5143320742660019,-0.4864523813653281,-0.6375505144622826
30,UPRO,10,0.15,0.10802531167475093,-0.7572501063172226,0.32515518301476687,0.2606763734447668,0.14265473292584477,0.1622810738780518,130,0.6679340937896071,0.10418164409541086,0.11134125595287903,0.3127190475442813,0.3515501406445286,0.8895432297963108,-0.7572501063172226,-0.48714676964437426,-0.5002120530610639,-0.6546068424040808
30,UPRO,10,0.18,0.12260104703150598,-0.7572501063172228,0.3650586039798865,0.2953277918649737,0.16190297764071448,0.20233073412857594,118,0.679340937896071,0.10658870231246032,0.15419883769844134,0.3194896556323028,0.46188434200474277,0.6917092150073842,-0.7572501063172228,-0.5357836884614786,-0.5002120530610634,-0.654606842404081
30,UPRO,10,0.2,0.11887554294873359,-0.7705640421417639,0.3546721519844814,0.2877918597385911,0.1542708152048231,0.18714223652151019,116,0.6844106463878327,0.09688996858240162,0.16476871648465208,0.2921360733890527,0.4868840057166974,0.60001164540007,-0.7705640421417639,-0.48714676964437426,-0.5276235775337367,-0.6735503824596617
30,UPRO,10,0.22,0.13843221489918944,-0.7705640421417639,0.40567532903237535,0.3335510803149912,0.17965049928156587,0.24324321878469052,110,0.6869455006337135,0.11360917986624353,0.19110968487839197,0.33858035610821524,0.54635322148518,0.6197096361724287,-0.7705640421417639,-0.48714676964437437,-0.5276235775337367,-0.6735503824596617
30,UPRO,10,0.25,0.1351581128372603,-0.7705640421417642,0.39697545503243853,0.32638624483184636,0.17540153114540824,0.23372666092041525,110,0.6875792141951838,0.10899669435900838,0.19110968487839242,0.32584134744800525,0.54635322148518,0.5963932024821854,-0.7705640421417642,-0.4871467696443742,-0.5276235775337368,-0.6735503824596621
30,UPRO,12,0.06,0.052096108720294465,-0.6709951579742803,0.1475932646677974,0.1179794702907485,0.07764006655066108,0.00027339747721091064,286,0.5836501901140685,0.04344740039490702,0.06665022968151546,0.11688634417897273,0.2158825571690266,0.5414348695501872,-0.6709951579742803,-0.4346535999823554,-0.5655753666993613,-0.6023894924478455
30,UPRO,12,0.08,0.07022721867568138,-0.7656888274005523,0.2116928997654133,0.16547553496876877,0.09171770066711923,0.04606674385564793,202,0.6178707224334601,0.056902190204480396,0.09565849679977845,0.16787154927698303,0.30791597814735466,0.5451862234854448,-0.7656888274005523,-0.5172629658000106,-0.5165519710540054,-0.673638336603517
30,UPRO,12,0.1,0.05840364360972905,-0.7667533496684875,0.1767835745106463,0.1392786094096133,0.07617005342719452,0.015334448704895318,184,0.6330798479087453,0.0361414434794185,0.10523102552833818,0.10338866747007196,0.33503584638257694,0.3085898675809531,-0.7667533496684875,-0.5172629658000105,-0.5165519710540054,-0.6736383366035172
30,UPRO,12,0.12,0.059795160264398906,-0.7784007577824861,0.18468484155018705,0.1468378602196056,0.07681796255536005,0.01961568654191305,166,0.6495564005069708,0.043746388621119126,0.09170700654283448,0.1318383879062773,0.29737777941172416,0.44333637895568856,-0.7784007577824861,-0.5143320742660021,-0.5252310263323546,-0.691344221894443
30,UPRO,12,0.15,0.09193933123620401,-0.7932783455091927,0.2800110695433204,0.22474139542391472,0.11589794648584492,0.10442752791523656,134,0.6698352344740177,0.07923127474368385,0.11584617209210202,0.24146507555556126,0.3634740407813871,0.664325504612285,-0.7932783455091927,-0.48714676964437453,-0.5467724810588849,-0.7058690988291944
