regime_period,reentry_period,trailing_stop_pct,cagr,max_dd,sharpe,sortino,calmar,upi,num_trades,pct_time_upro,train_cagr,test_cagr,train_sharpe,test_sharpe,train_test_sharpe_ratio,total_return,worst_1yr
20,8,0.1,0.08324581761515826,-0.7652338530719679,0.2517587756086846,0.20115786272510114,0.10878480778258152,0.08146378567269509,192,0.6406844106463878,0.06060693459000488,0.1308734093936028,0.17923326821361332,0.4072503976843798,0.44010581507772917,11.225998434581365,-0.505934085322974
20,8,0.12,0.09353133172099781,-0.7661915890257255,0.28342045007256217,0.2278635528529895,0.12207303376943938,0.1197883693705227,172,0.655893536121673,0.07843225890950944,0.12306914538946434,0.2362240415424459,0.38345535004284675,0.6160405416590238,14.939832430850773,-0.5019631675257902
20,8,0.15,0.11262383091398132,-0.80888077779237,0.3380391651298677,0.27440761032401,0.1392341541621978,0.16492269594228118,150,0.6755386565272496,0.0975816978241748,0.14196033972750244,0.29376563392292243,0.4326183378311895,0.6790411044423912,25.216274813736455,-0.5354009468706739
20,8,0.18,0.12333412723571335,-0.80888077779237,0.3670704332103031,0.2996002461245194,0.15247503788175287,0.19173840906325446,140,0.6844106463878327,0.09167558961041977,0.19287681635510712,0.2772246588275185,0.5565749636206444,0.49809042258047365,33.69045695324231,-0.535400946870674
20,8,0.2,0.12333412723571335,-0.80888077779237,0.3670704332103031,0.2996002461245194,0.15247503788175287,0.19173840906325446,140,0.6844106463878327,0.09167558961041977,0.19287681635510712,0.2772246588275185,0.5565749636206444,0.49809042258047365,33.69045695324231,-0.535400946870674
20,8,0.22,0.13069674710706458,-0.80888077779237,0.38636965043769345,0.3173122244291498,0.16157726910480852,0.21291301715931826,138,0.6850443599493029,0.10200169308237816,0.19287681635510734,0.3064190601575496,0.5565749636206443,0.5505440959187694,41.049705147714896,-0.535400946870674
20,8,0.25,0.13069674710706458,-0.80888077779237,0.38636965043769345,0.3173122244291498,0.16157726910480852,0.21291301715931826,138,0.6850443599493029,0.10200169308237816,0.19287681635510734,0.3064190601575496,0.5565749636206443,0.5505440959187694,41.049705147714896,-0.535400946870674
20,8,0.28,0.13069674710706458,-0.80888077779237,0.38636965043769345,0.3173122244291498,0.16157726910480852,0.21291301715931826,138,0.6850443599493029,0.10200169308237816,0.19287681635510734,0.3064190601575496,0.5565749636206443,0.5505440959187694,41.049705147714896,-0.535400946870674
20,8,0.3,0.13069674710706458,-0.80888077779237,0.38636965043769345,0.3173122244291498,0.16157726910480852,0.21291301715931826,138,0.6850443599493029,0.10200169308237816,0.19287681635510734,0.3064190601575496,0.5565749636206443,0.5505440959187694,41.049705147714896,-0.535400946870674
20,10,0.1,0.09079979486639989,-0.747453463321611,0.27477464250429096,0.21858026229744845,0.12147886031980422,0.10733160564624371,186,0.641318124207858,0.0761620517296997,0.11925647215043211,0.22791971906190847,0.37427895147902224,0.6089568172648977,13.851507617529755,-0.4770634402025813
20,10,0.12,0.10115703464919079,-0.748483734940151,0.30569233749722763,0.2446498435514638,0.13514927569839488,0.1478394070237215,166,0.6565272496831432,0.0942488065554552,0.11153237772532232,0.2836126629639939,0.35196136603457284,0.8058062342448543,18.43392406710825,-0.4864533429087933
20,10,0.15,0.11945729807166017,-0.7944060577183621,0.3570601117734419,0.2882000611529761,0.15037309561152784,0.19407994449817684,142,0.673637515842839,0.10730938723767869,0.14196033972750266,0.3216434904105823,0.43261833783118964,0.7434809444811136,30.345931580263816,-0.5002137942493103
20,10,0.18,0.12978561909987119,-0.7944060577183619,0.3846811258381497,0.31172287250651515,0.16337440763308433,0.2214357269592281,132,0.6812420785804816,0.10072221988079222,0.1928768163551069,0.3030050958595414,0.556574963620644,0.5444102154513488,40.06103827338374,-0.5002137942493101
20,10,0.2,0.12978561909987119,-0.7944060577183619,0.3846811258381497,0.31172287250651515,0.16337440763308433,0.2214357269592281,132,0.6812420785804816,0.10072221988079222,0.1928768163551069,0.3030050958595414,0.556574963620644,0.5444102154513488,40.06103827338374,-0.5002137942493101
20,10,0.22,0.1371905237029396,-0.7944060577183619,0.403882550220296,0.32931625730557407,0.17269571696994448,0.24303651734177398,130,0.6818757921419518,0.11113389496498938,0.19287681635510712,0.3319841919746759,0.5565749636206443,0.5964770492280944,48.81185824567627,-0.5002137942493101
20,10,0.25,0.1371905237029396,-0.7944060577183619,0.403882550220296,0.32931625730557407,0.17269571696994448,0.24303651734177398,130,0.6818757921419518,0.11113389496498938,0.19287681635510712,0.3319841919746759,0.5565749636206443,0.5964770492280944,48.81185824567627,-0.5002137942493101
20,10,0.28,0.1371905237029396,-0.7944060577183619,0.403882550220296,0.32931625730557407,0.17269571696994448,0.24303651734177398,130,0.6818757921419518,0.11113389496498938,0.19287681635510712,0.3319841919746759,0.5565749636206443,0.5964770492280944,48.81185824567627,-0.5002137942493101
20,10,0.3,0.1371905237029396,-0.7944060577183619,0.403882550220296,0.32931625730557407,0.17269571696994448,0.24303651734177398,130,0.6818757921419518,0.11113389496498938,0.19287681635510712,0.3319841919746759,0.5565749636206443,0.5964770492280944,48.81185824567627,-0.5002137942493101
20,12,0.1,0.07096839913252762,-0.8117553167615995,0.21630575458956972,0.17229194456248922,0.08742585070541642,0.04395825994155678,194,0.6444866920152091,0.048765708333793345,0.11759481984076126,0.14423139761452916,0.36912456984171577,0.3907390875562063,7.952699433742801,-0.5033592145288529
