variant,base_label,regime_period,reentry_instrument,reentry_period,trailing_stop_pct,cagr,max_dd,sharpe,sortino,calmar,ulcer_index,upi,num_trades,train_cagr,test_cagr,train_sharpe,test_sharpe,train_test_sharpe_ratio,cagr_delta,calmar_delta
EMA_regime,R250_UPRO_30_S18%,250,UPRO,30,0.18,0.11161737751292389,-0.4735358548351203,0.3410043605874217,0.24028137758486676,0.2357105092956219,0.20566993781767243,0.28986918625791114,58,0.08198629026385928,0.1762067064474231,0.23829241488445307,0.522935674919195,0.4556820777646782,0.004140104725395943,0.008742959341141221
EMA_reentry,R250_UPRO_30_S18%,250,UPRO,30,0.18,0.07434010944557778,-0.6882721104684212,0.21709046472240054,0.14947893107103566,0.10800976578141996,0.28974936245928884,0.07710149646564513,62,0.05387896474137244,0.11674761840402725,0.1285603176527646,0.3650012596085437,0.35221883286277667,-0.03313716334195016,-0.11895778417306072
ATR_stop_1.5x,R250_UPRO_30_S18%,250,UPRO,30,0.18,0.05161072995797533,-0.6454589235720735,0.11742524033998242,0.08097877398563218,0.07995974348352526,0.2445721744192808,-0.0015916366730964369,224,0.008720977589532497,0.1501647158059296,-0.11249395979178427,0.4709745088121264,-0.23885360605930067,-0.05586654282955261,-0.1470078064709554
ATR_stop_2.0x,R250_UPRO_30_S18%,250,UPRO,30,0.18,0.09301513169556719,-0.5593210488532934,0.28143090106183843,0.19412478775485717,0.1663000737881483,0.21335803021259922,0.19223617529041645,160,0.04556614342664811,0.2030149626554889,0.07614547179297622,0.6114682291587787,0.1245289095358766,-0.014462141091960756,-0.06066747616633239
ATR_stop_2.5x,R250_UPRO_30_S18%,250,UPRO,30,0.18,0.10023025754886228,-0.4864422524153975,0.30771641806652694,0.21177661721746605,0.20604759773883832,0.20054772741723212,0.24049266561131863,134,0.05863011758736847,0.19501858450687526,0.13580423441418246,0.586121443892513,0.231699822330826,-0.007247015238665666,-0.020919952215642357
ATR_stop_3.0x,R250_UPRO_30_S18%,250,UPRO,30,0.18,0.09097877339572702,-0.47816524632873963,0.2732913103756015,0.18650511538046605,0.19026638613793967,0.20113667562252707,0.1937924710900484,120,0.04516572534715668,0.19673373752315926,0.08088913213247713,0.5892833498931651,0.13726695679954648,-0.016498499391800925,-0.03670116381654101
golden_cross,R250_UPRO_30_S18%,250,UPRO,30,0.18,0.08658000691225887,-0.5252563594847846,0.25857837423445335,0.1787047201904688,0.16483380990795388,0.2897320346163674,0.1193516863195541,54,0.04704200815778292,0.1762067064474231,0.10968038523779784,0.5229356749191951,0.2097397261235731,-0.020897265875269078,-0.0621337400465268
partial_exit_15pct,R250_UPRO_30_S18%,250,UPRO,30,0.18,0.09002319168444184,-0.5070531069885834,0.2715540556989155,0.18499900492919016,0.17754193879038543,0.20413614374304842,0.18626388736089108,66,0.052128564062611904,0.17544033916396917,0.10122567669013406,0.5560463428547581,0.182045396019401,-0.017454081103086105,-0.049425611164095246
VIX_below_25,R250_UPRO_30_S18%,250,UPRO,30,0.18,0.10600970474879201,-0.4735358548351206,0.32410753317237806,0.22070968998643312,0.2238683801160174,0.207907277486756,0.25977784617102934,54,0.0761838121710976,0.17111160772713507,0.2148856457979678,0.5099865555036955,0.42135551119721754,-0.0014675680387359336,-0.0030991698384632838
VIX_below_30,R250_UPRO_30_S18%,250,UPRO,30,0.18,0.10747727278752794,-0.4735358548351206,0.3290720566028537,0.22450181010201697,0.22696754995448068,0.20702202573618214,0.26797763469972624,54,0.0761838121710976,0.1762067064474231,0.2148856457979678,0.522935674919195,0.41092175597155867,0.0,0.0
VIX_below_35,R250_UPRO_30_S18%,250,UPRO,30,0.18,0.10747727278752794,-0.4735358548351206,0.3290720566028537,0.22450181010201697,0.22696754995448068,0.20702202573618214,0.26797763469972624,54,0.0761838121710976,0.1762067064474231,0.2148856457979678,0.522935674919195,0.41092175597155867,0.0,0.0
UPRO_above_SMA50,R250_UPRO_30_S18%,250,UPRO,30,0.18,0.11494171916105067,-0.4735358548351205,0.3568542673784424,0.2384977075190833,0.24273076259678794,0.1868260623440177,0.3369001004000774,48,0.0827348029316819,0.18589711919783158,0.24125824670428417,0.5556404168207583,0.43419852012333127,0.007464446373522726,0.01576321264230726
EMA_regime,R250_UPRO_30_S15%,250,UPRO,30,0.15,0.10520759726922124,-0.4567721111043915,0.3211008136819188,0.2219103253019083,0.23032841697547712,0.20370770974152416,0.261195795371388,72,0.07798519440902929,0.16390271441573323,0.2230275568349471,0.496693669276261,0.4490243597425422,0.001407311295837932,0.009284845752204701
EMA_reentry,R250_UPRO_30_S15%,250,UPRO,30,0.15,0.08410847191704818,-0.6283933339790344,0.2492475053035018,0.1698987860313467,0.1338468557336007,0.2580018783330974,0.12445053549414098,74,0.06300795699198569,0.12801481322076325,0.16341836219165487,0.39663491098324544,0.4120120485273117,-0.019691814056335133,-0.08719671548967173
ATR_stop_1.5x,R250_UPRO_30_S15%,250,UPRO,30,0.15,0.05161072995797533,-0.6454589235720735,0.11742524033998242,0.08097877398563218,0.07995974348352526,0.2445721744192808,-0.0015916366730964369,224,0.008720977589532497,0.1501647158059296,-0.11249395979178427,0.4709745088121264,-0.23885360605930067,-0.05218955601540798,-0.14108382773974715
ATR_stop_2.0x,R250_UPRO_30_S15%,250,UPRO,30,0.15,0.09301513169556719,-0.5593210488532934,0.28143090106183843,0.19412478775485717,0.1663000737881483,0.21335803021259922,0.19223617529041645,160,0.04556614342664811,0.2030149626554889,0.07614547179297622,0.6114682291587787,0.1245289095358766,-0.010785154277816122,-0.05474349743512413
ATR_stop_2.5x,R250_UPRO_30_S15%,250,UPRO,30,0.15,0.10023025754886228,-0.4864422524153975,0.30771641806652694,0.21177661721746605,0.20604759773883832,0.20054772741723212,0.24049266561131863,134,0.05863011758736847,0.19501858450687526,0.13580423441418246,0.586121443892513,0.231699822330826,-0.0035700284245210323,-0.0149959734844341
ATR_stop_3.0x,R250_UPRO_30_S15%,250,UPRO,30,0.15,0.09097877339572702,-0.47816524632873963,0.2732913103756015,0.18650511538046605,0.19026638613793967,0.20113667562252707,0.1937924710900484,120,0.04516572534715668,0.19673373752315926,0.08088913213247713,0.5892833498931651,0.13726695679954648,-0.012821512577656291,-0.030777185085332753
golden_cross,R250_UPRO_30_S15%,250,UPRO,30,0.15,0.07631264812354455,-0.6047947788245441,0.2232745184855916,0.14972907938972133,0.12617940960380458,0.322199014804593,0.07545848064833365,70,0.03760578830473271,0.16390271441573323,0.06837053402668053,0.4966936692762612,0.13765130956129182,-0.027487637849838764,-0.09486416161946784
partial_exit_15pct,R250_UPRO_30_S15%,250,UPRO,30,0.15,0.09284847921540451,-0.507053106988583,0.28017379131708314,0.19041866959823994,0.18311391437247446,0.199793913994936,0.20445307065979929,90,0.06658074516170909,0.14926703932679275,0.17577038654986346,0.470387505916049,0.3736714609533731,-0.0109518067579788,-0.037929656850797966
VIX_below_25,R250_UPRO_30_S15%,250,UPRO,30,0.15,0.10377150310112526,-0.4695919695784157,0.31829816686332296,0.2122055066537801,0.2209822778577068,0.20357021516580237,0.2543176714676005,64,0.0760076330064523,0.16380335537402546,0.2140963676430105,0.5005940261852433,0.42768462355518555,-2.8782872258048542e-05,-6.129336556562337e-05
VIX_below_30,R250_UPRO_30_S15%,250,UPRO,30,0.15,0.10380028597338331,-0.4695919695784157,0.31785885664021535,0.21275861475919822,0.22104357122327242,0.2029150047588807,0.25528070748112697,66,0.0760076330064523,0.163902714415733,0.2140963676430105,0.49669366927626063,0.43104307722498925,0.0,0.0
VIX_below_35,R250_UPRO_30_S15%,250,UPRO,30,0.15,0.10380028597338331,-0.4695919695784157,0.31785885664021535,0.21275861475919822,0.22104357122327242,0.2029150047588807,0.25528070748112697,66,0.0760076330064523,0.163902714415733,0.2140963676430105,0.49669366927626063,0.43104307722498925,0.0,0.0
UPRO_above_SMA50,R250_UPRO_30_S15%,250,UPRO,30,0.15,0.1148760992790967,-0.44576392685048605,0.35883092038644565,0.2363412234916672,0.25770613627429606,0.17769968308594877,0.3538334913556664,58,0.08255755132191456,0.18610970977311347,0.24087467595971565,0.5633910959685632,0.4275443429676714,0.011075813305713389,0.03666256505102364
EMA_regime,R225_UPRO_30_S18%,225,UPRO,30,0.18,0.10663277143308836,-0.4735358548351204,0.3241849264461656,0.2297388148242436,0.22518415521083748,0.21498298890377235,0.25412602044314453,60,0.0750013920606567,0.1762067064474233,0.2125112438698842,0.5229356749191951,0.4063812320754781,0.005089610168832914,0.010748098833202435
EMA_reentry,R225_UPRO_30_S18%,225,UPRO,30,0.18,0.06858355427282148,-0.6882721104684221,0.19857871558880166,0.13841916156721593,0.09964598772736134,0.2953896544721223,0.05614128329056484,62,0.04575083823587045,0.11674761840402703,0.0995360152621702,0.36500125960854396,0.27270047059267805,-0.032959606991433965,-0.1147900686502737
ATR_stop_1.5x,R225_UPRO_30_S18%,225,UPRO,30,0.18,0.050708767152303436,-0.6454589235720734,0.11516081330851535,0.07987271561250721,0.07856234579835533,0.24755404663933522,-0.00521596340365131,226,0.007474411297755612,0.15016471580592938,-0.11156075069751227,0.4709745088121264,-0.2368721631641731,-0.05083439411195201,-0.13587371057927972
